batch_size,initial_samples,mean_iterations
1,2,16.0
1,3,20.0
1,4,20.0
1,5,20.0
1,6,20.0
1,7,20.0
1,8,20.0
1,9,20.0
1,10,15.25
2,2,18.25
2,3,18.25
2,4,15.25
2,5,18.75
2,6,16.25
2,7,17.75
2,8,16.75
2,9,16.75
2,10,15.75
3,2,14.0
3,3,11.5
3,4,12.0
3,5,13.5
3,6,12.0
3,7,15.5
3,8,10.25
3,9,12.0
3,10,11.5
4,2,14.75
4,3,11.0
4,4,11.25
4,5,10.0
4,6,9.25
4,7,10.25
4,8,11.5
4,9,11.0
4,10,10.5
5,2,9.75
5,3,10.0
5,4,8.0
5,5,8.25
5,6,5.75
5,7,8.0
5,8,7.0
5,9,7.25
5,10,7.5
6,2,7.5
6,3,8.25
6,4,7.75
6,5,6.25
6,6,8.75
6,7,4.25
6,8,6.75
6,9,6.75
6,10,8.25
7,2,6.25
7,3,7.5
7,4,6.5
7,5,7.5
7,6,7.5
7,7,5.75
7,8,3.5
7,9,7.25
7,10,4.25
8,2,5.75
8,3,7.75
8,4,6.25
8,5,6.25
8,6,6.75
8,7,7.0
8,8,6.75
8,9,7.25
8,10,5.5
9,2,6.5
9,3,5.0
9,4,6.0
9,5,5.75
9,6,5.25
9,7,6.75
9,8,4.5
9,9,5.75
9,10,5.5
10,2,6.0
10,3,5.5
10,4,5.5
10,5,5.5
10,6,6.75
10,7,3.25
10,8,5.25
10,9,4.25
10,10,4.75
